Frame;Augenoeffnung;Mundoeffnung;Stirnfalten
1;43;108;1412
2;43;108;1326
3;36;100;1261
4;31;90;1317
5;26;72;1049
6;23;46;745
7;20;17;491
8;22;12;304
9;22;13;300
10;22;14;268
11;22;14;351
12;22;16;430
13;23;17;394
14;20;13;252
15;17;3;202
16;13;0;270
17;14;0;151
18;13;0;196
19;14;0;277
20;14;0;148
21;14;0;174
22;14;1;228
23;16;0;191
24;25;10;419
25;31;8;703
26;29;26;1060
27;30;39;1318
28;29;38;1577
29;30;34;1446
30;30;36;1320
31;30;36;1390
32;31;36;1291
33;29;36;1226
34;17;33;1045
35;18;29;775
36;17;20;459
37;20;17;633
38;22;13;302
39;22;14;416
40;22;14;397
41;22;14;285
42;33;18;316
43;42;10;346
44;43;3;335
45;46;0;368
46;51;0;413
47;53;0;434
48;53;3;484
49;51;0;432
50;49;3;402
51;40;10;351
52;30;13;416
53;25;17;560
54;33;22;781
55;42;36;1160
56;43;56;1528
57;43;100;1472
58;43;103;1304
59;43;108;1474
60;43;108;1223
